condition,epoch,window,observable,k,metric,value
rho2_eta1_tau20_eeon,50,exec,jpca,10,r2_above_shuffle,-0.04321501037364181
rho2_eta1_tau20_eeon,50,prep_vs_exec,orthogonality,6,mean_angle_deg,45.337868939903956
rho2_eta1_tau20_eeon,50,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
rho2_eta1_tau20_eeon,50,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
rho2_eta1_tau20_eeon,50,prep_vs_exec,orthogonality,6,z_vs_null,-74.92458618023491
rho2_eta1_tau20_eeon,50,prep,cv_stability,6,fold_subspace_angle_deg,58.18818060993347
rho2_eta1_tau20_eeon,50,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta1_tau20_eeon,50,exec,cv_stability,6,fold_subspace_angle_deg,49.926218375638015
rho2_eta1_tau20_eeon,50,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta1_tau20_eeon,100,prep,pr,,participation_ratio,30.720186247453018
rho2_eta1_tau20_eeon,100,exec,pr,,participation_ratio,20.491306847954053
rho2_eta1_tau20_eeon,100,exec,jpca,4,r2_skew,0.0030647629011498756
rho2_eta1_tau20_eeon,100,exec,jpca,4,r2_full,0.009457582789522911
rho2_eta1_tau20_eeon,100,exec,jpca,4,omega_rad_per_bin,0.0030992984504901937
rho2_eta1_tau20_eeon,100,exec,jpca,4,freq_hz,0.04932686685125662
rho2_eta1_tau20_eeon,100,exec,jpca,4,direction_consistency,0.625
rho2_eta1_tau20_eeon,100,exec,jpca,4,mean_tangling,0.10849633111935629
rho2_eta1_tau20_eeon,100,exec,jpca,4,shuffle_r2_mean,0.013438110507070788
rho2_eta1_tau20_eeon,100,exec,jpca,4,shuffle_r2_std,0.01200732948811534
rho2_eta1_tau20_eeon,100,exec,jpca,4,r2_above_shuffle,-0.010373347605920912
rho2_eta1_tau20_eeon,100,exec,jpca,6,r2_skew,0.00996525963920769
rho2_eta1_tau20_eeon,100,exec,jpca,6,r2_full,0.016510495546118276
rho2_eta1_tau20_eeon,100,exec,jpca,6,omega_rad_per_bin,0.008679737023213145
rho2_eta1_tau20_eeon,100,exec,jpca,6,freq_hz,0.13814230519821052
rho2_eta1_tau20_eeon,100,exec,jpca,6,direction_consistency,1.0
rho2_eta1_tau20_eeon,100,exec,jpca,6,mean_tangling,0.09090662232837321
rho2_eta1_tau20_eeon,100,exec,jpca,6,shuffle_r2_mean,0.037811308976368876
rho2_eta1_tau20_eeon,100,exec,jpca,6,shuffle_r2_std,0.013302436179046678
rho2_eta1_tau20_eeon,100,exec,jpca,6,r2_above_shuffle,-0.027846049337161186
rho2_eta1_tau20_eeon,100,exec,jpca,10,r2_skew,0.07410581575542574
rho2_eta1_tau20_eeon,100,exec,jpca,10,r2_full,0.0818681925107837
rho2_eta1_tau20_eeon,100,exec,jpca,10,omega_rad_per_bin,0.06072928360514096
rho2_eta1_tau20_eeon,100,exec,jpca,10,freq_hz,0.9665365676187782
