label,rho0,eta_istdp,tau_istdp,ee_plasticity,epoch,pr_exec,pr_prep,ortho_deg,jpca_above_shuffle
rho5_eta2_tau20_eeoff,5.0,2e-12,0.02,False,0,39.10845941309294,11.791507109547345,56.415435727344324,-0.022181564830645997
rho5_eta2_tau20_eeoff,5.0,2e-12,0.02,False,50,43.04559891999469,17.36175433363718,56.61820175464158,-0.06396725214903394
rho5_eta2_tau20_eeoff,5.0,2e-12,0.02,False,100,40.379043869444644,18.64148079251396,64.1160919487039,-0.007434812953425879
rho5_eta2_tau20_eeon,5.0,2e-12,0.02,True,0,39.10845941309294,11.791507109547345,56.415435727344324,-0.022181564830645997
rho5_eta2_tau20_eeon,5.0,2e-12,0.02,True,50,41.42585135431999,17.412276174246816,57.27275814551052,-0.04724363282658092
rho5_eta2_tau20_eeon,5.0,2e-12,0.02,True,100,42.96910275335229,18.791404686802622,62.10009055032446,-0.0314011854478162
rho5_eta2_tau40_eeoff,5.0,2e-12,0.04,False,0,27.212840336086824,16.26442887864482,48.81048570173657,-0.028728651581239717
rho5_eta2_tau40_eeoff,5.0,2e-12,0.04,False,50,37.30530562723764,23.980331558715545,49.06706352640298,-0.0394123465175428
rho5_eta2_tau40_eeoff,5.0,2e-12,0.04,False,100,40.354913746994974,25.835845759410045,52.71303785189155,-0.05661230953497129
rho5_eta2_tau40_eeon,5.0,2e-12,0.04,True,0,27.212840336086824,16.26442887864482,48.81048570173657,-0.028728651581239717
rho5_eta2_tau40_eeon,5.0,2e-12,0.04,True,50,40.73992379210286,24.36762209618622,50.84328065193787,-0.05486017278456472
