label,rho0,eta_istdp,tau_istdp,ee_plasticity,epoch,pr_exec,pr_prep,ortho_deg,jpca_above_shuffle
rho3_eta0.5_tau10_eeoff,3.0,5e-13,0.01,False,100,52.962452142445684,10.136503547714893,81.28257158899282,-0.0644891247198406
rho3_eta0.5_tau10_eeon,3.0,5e-13,0.01,True,0,52.73429567804133,8.861927671341979,84.06945666915277,-0.005647853204943834
rho3_eta0.5_tau10_eeon,3.0,5e-13,0.01,True,50,51.30225330366713,9.19675320269003,83.44076135119631,-0.02321764636014409
rho3_eta0.5_tau10_eeon,3.0,5e-13,0.01,True,100,49.37595932100402,9.915195847446814,80.48311163995919,-0.026485187848671196
rho3_eta0.5_tau20_eeoff,3.0,5e-13,0.02,False,0,53.17308348331934,9.19524735595865,84.07039947537048,-0.040663962392381375
rho3_eta0.5_tau20_eeoff,3.0,5e-13,0.02,False,50,51.34468612372625,10.526523654401204,82.36465056491164,-0.030817180757170687
rho3_eta0.5_tau20_eeoff,3.0,5e-13,0.02,False,100,52.41349663856976,12.529534581421851,80.73883053534497,-0.019626695951906664
rho3_eta0.5_tau20_eeon,3.0,5e-13,0.02,True,0,53.17308348331934,9.19524735595865,84.07039947537048,-0.040663962392381375
rho3_eta0.5_tau20_eeon,3.0,5e-13,0.02,True,50,51.04067673577031,10.212499431288318,81.90912513799796,-0.012054929851174692
rho3_eta0.5_tau20_eeon,3.0,5e-13,0.02,True,100,52.67757609086929,12.231569415107886,81.91693589678961,0.02237763578768115
rho3_eta0.5_tau40_eeoff,3.0,5e-13,0.04,False,0,52.197017628297175,9.667241087738468,81.68674556077646,0.01637118134961245
rho3_eta0.5_tau40_eeoff,3.0,5e-13,0.04,False,50,50.56269175443136,13.254141754798011,79.13826342515011,-0.02446823302049568
rho3_eta0.5_tau40_eeoff,3.0,5e-13,0.04,False,100,52.59351567959053,16.704851630426877,81.88671672140345,-0.008613915870542277
rho3_eta0.5_tau40_eeon,3.0,5e-13,0.04,True,0,52.197017628297175,9.667241087738468,81.68674556077646,0.01637118134961245
rho3_eta0.5_tau40_eeon,3.0,5e-13,0.04,True,50,50.34198001885267,13.119247124373112,79.7094265502678,-0.019854404592602543
rho3_eta0.5_tau40_eeon,3.0,5e-13,0.04,True,100,51.0811280452419,16.60784381546194,79.63834268519085,-0.02514834443850844
rho3_eta1_tau10_eeoff,3.0,1e-12,0.01,False,0,52.32911218520555,9.408296098032956,82.84228905567359,-0.024578210670122835
rho3_eta1_tau10_eeoff,3.0,1e-12,0.01,False,50,52.11468546440289,10.398273324697966,81.34300687352167,-0.047760851793446274
rho3_eta1_tau10_eeoff,3.0,1e-12,0.01,False,100,51.64761229101248,12.399490258081608,82.47486421764812,-0.017373508095694018
rho3_eta1_tau10_eeon,3.0,1e-12,0.01,True,0,52.32911218520555,9.408296098032956,82.84228905567359,-0.024578210670122835
rho3_eta1_tau10_eeon,3.0,1e-12,0.01,True,50,51.553127869499804,10.228012914379164,82.66107408936367,-0.00531920098446928
rho3_eta1_tau10_eeon,3.0,1e-12,0.01,True,100,51.62961990199285,12.036746769714409,81.20864800782242,0.01379931052671364
rho3_eta1_tau20_eeoff,3.0,1e-12,0.02,False,0,52.82575127163855,9.632025846745712,80.82072219803631,-0.017048217912430635
rho3_eta1_tau20_eeoff,3.0,1e-12,0.02,False,50,50.32866350552444,13.417809148184844,78.41733435517153,0.04753728465708415
rho3_eta1_tau20_eeoff,3.0,1e-12,0.02,False,100,53.11371442516041,16.32322424254045,79.87875974915376,-0.02023671922691697
rho3_eta1_tau20_eeon,3.0,1e-12,0.02,True,0,52.82575127163855,9.632025846745712,80.82072219803631,-0.017048217912430635
rho3_eta1_tau20_eeon,3.0,1e-12,0.02,True,50,51.065897379660264,12.804847478762039,80.69631030189242,0.014058706373034052
rho3_eta1_tau20_eeon,3.0,1e-12,0.02,True,100,52.89280390737818,16.315464332415978,81.36354885179836,-0.020600411003856206
